Email File                                                                                                                      ,Project Name
For Krystal Growth Partners_ Acquisition Opportunity – Elevator Handrail & Safety Barricade Manufacturer (Western Canada).msg   ,Lustre Products
Acquisition Opportunity_ Project Rock.msg                                                                                       ,Project Rock
FW_ To Krystal Growth Partners_ Acquisition Opportunity - Marine Vessel Services Provider.msg                                   ,Delta Marine Services
RE_ Project Bailey.msg                                                                                                          ,Project Bailey
Project Bluebird - Iconic Heli-Skiing Resort Transaction Opportunity.msg                                                        ,Project Bluebird / Mike Wiegele Helicopter Skiing
Fwd_ Investment Opportunity - Project Bus.msg                                                                                   ,Project Bus
Acquisition Opportunity - Project Cedar.msg                                                                                     ,Project Cedar
FW Sell Side Opportunity - Healthcare Services .msg                                                                             ,Project Clara
FW_ Project Dogwood - Krystal Growth .msg                                                                                       ,Project Dogwood / Coquitlam College
Follow-up - Acquisition Opportunity - $2_6M EBITDA Environmental and Demolition Business.msg                                    ,Project Eagle
FW Project Elevate - Opportunity to acquire a highly regarded data driven marketing agency.msg                                  ,Project Elevate
RE_ Project Falcon - Acquisition Opportunity.msg                                                                                ,Project Falcon
FW_ Project Flow _  Innovative Building Component Company .msg                                                                  ,Project Flow
Project Frame - Acquisition Opportunity.msg                                                                                     ,Project Framework
FW Project Gravy - Franchise QSR Portfolio Acquisition Opportunity.msg                                                          ,Project Gravy
Project Halo Acquisition Opportunity - _Krystal Growth Partners_.msg                                                            ,Project Halo
FW Acquisition Opportunity - Portfolio of Market-Leading Brands and Products in Canned Seafood and Balsamic Glazes.msg          ,Project Harbour
Acquisition Opportunity_ Project Hitch.msg                                                                                      ,Project Hitch
Acquisition Opportunity - Water Management - Krystal Growth Partners.msg                                                        ,Project Hydros / White Water Management Ltd.
FW Project Kiln Acquisition Opportunity for Canadian StirredKettle Foods Business.msg                                           ,Project Kiln
FW Investment Opportunity adtrackmedia C$10M+ Growth Equity Raise.msg                                                           ,Project Metro (AdTrackMedia)
RE Project Monstera - Rapidly Growing Auto Aftermarket Distributor.msg                                                          ,Project Monstera
RE Terry Acquisition Opportunity  Western Canadian Industrial Safety Business.msg                                               ,Project Paladin (Protek Safety & Controls)
RE_ Project Patriot - Acquisition Opportunity.msg                                                                               ,Project Patriot
FW_ Project Polaris - Leading provider of para-transit solutions.msg                                                            ,Project Polaris
RE_ Project Seal - Acquisition Opportunity (Krystal Growth).msg                                                                 ,Project Seal
RE_ Project Spark _ Electrical Contractor Opportunity.msg                                                                       ,Project Spark
Acquisition Opportunity_ Project Thunder.msg                                                                                    ,Project Thunderbolt / Mazzei Electric
FW Project Toro.msg                                                                                                             ,Project Toro
FW Project Up - Leading Overhead Door  Gate Dealer and Installer.msg                                                            ,Project Up
RE_ Project Pool Confidential Information Memorandum - Krystal Growth Partners.msg                                              ,The Wilbar Group
FW Reliable Fleet Deck as discussed.msg                                                                                         ,Reliable Fleet
FW Transaction Opportunity - Leading Canadian Regional Airline.msg                                                              ,Seair Seaplanes
FW SISP - Teaser - Special D Baking Ltd.  Land Assembly Company (Edmonton) Ltd. .msg                                            ,Special D Baking
RE_ To Krystal Growth Partners_ Acquisition Opportunity - Industrial Services Company.msg                                       ,Big Country Equipment Repair
RE_ Western Solar - Process Letter.msg                                                                                          ,Western Solar
RE_ Acquisition Opportunity - Leading Western Canadian Transportation Services Provider.msg                                     ,tappConnect
RE_ Acquisition Opportunity - Project Crisp.msg                                                                                 ,Paramount Services
Avery - Acquisition Opportunity.msg                                                                                             ,Sylvis
Acquisition Opportunity – Leading North American Pet Food Business.msg                                                          ,Project Pet Food
FW 2025 Estimated $63.4M $5.2M Cold Plunge Sauna Company.msg                                                                    ,Reboot Labs LLC dba Plunge
RE Acquisition Opportunity Investor Marketing Platform with Integrated Media and Digital Capabilities.msg                       ,Project Blue Sky
Avery - Commerical Roofing Contractor Acquisition Opportunity.msg                                                               ,Raven Roofing
RE_ Brian - Transportation Equipment Manufacturing Company For Sale.msg                                                         ,K-Line
FW_ Aviation - M&A Opportunity.msg                                                                                              ,Project Altitude (Pacific Coastal Airline)
RE_ Acquisition Opportunity – Wellness & Recovery Brand_ $39M Sales FY2024_ 33% EBITDA Margin.msg                               ,The Pod Company
Fwd_ Project Cavalier - Primer and NDA.msg                                                                                      ,AdvanTec Marine
RE_ Acquisition Opportunity - Project Coyote - Leading Distributor of Aggregate Equipment  .msg                                 ,Lonetrack
RE_ DeeBee's Follow-Up.msg                                                                                                      ,DeeBees
FW Project Beach  Leading Industrial Energy and Services Technology Provider.msg                                                ,Energera
Fwd_ Project Durable - Acquisition Opportunity (Krystal Growth Partners).msg                                                    ,Miska Trailer Factory
Fwd_ Acquisition Opportunity - Infrared Sauna Business.msg                                                                      ,Project Mahogany
Project Honey - Acquisition Opportunity - Project Honey.msg                                                                     ,OMG
Potential Acquisition Opportunity - Project Lion.msg                                                                            ,CB Medical Inc.
Acquisition Opportunity - West Coast Based Metal Composite Panel System Manufacturing and Installation Company.msg              ,Project Highland
Project Picard _ Acquisition Opportunity in Business Services .msg                                                              ,Longview Communications
RE_ Project Podium - Process Letter.msg                                                                                         ,Regal Auctions
RE_ Acquisition Opportunity – Established Water Management & Logistics Solution Provider in Western Canada.msg                  ,Wild North Services
Investment opportunity_ Project Reel .msg                                                                                       ,Kubik
Project Regal Acquisition Opportunity_ Provider of Sewer Utility and Infrastructure Services - _Krystal Growth Partners_.msg    ,Regal Auctions

