Email File,Project Name (CSV),Project Name (Parsed),Project Match,LTM EBITDA (CSV),LTM EBITDA (Parsed),EBITDA Match,Source (CSV),Source (Parsed),Source Match,Date Received (CSV),Date Received (Parsed),Date Match,Investment Criteria (CSV),Investment Criteria (Parsed),Criteria Match
FW Project Toro.msg,Project Toro,Project Toro,✓,10.0,15.0,✗,Sequeira Partners,sequeirapartners.com,✓,24-Sep-25,25-Sep-25,✗,No,No,✓
RE Project Monstera - Rapidly Growing Auto Aftermarket Distributor.msg,Project Monstera,Monstera,✓,5.8,5.8,✓,National Bank (Toronto),krystalgp.com,✗,17-Sep-25,18-Sep-25,✗,No,No,✓
FW Project Kiln Acquisition Opportunity for Canadian StirredKettle Foods Business.msg,Project Kiln,Project Kiln,✓,10.0,10.0,✓,Origin Merchant Partners,originmerchant.com,✓,5-Sep-25,05-Sep-25,✗,No,No,✓
FW Reliable Fleet Deck as discussed.msg,Reliable Fleet,Reliable Fleet,✓,,,✓,Origin Merchant Partners,originmerchant.com,✓,13-Aug-25,27-Aug-25,✗,No,No,✓
FW Project Gravy - Franchise QSR Portfolio Acquisition Opportunity.msg,Project Gravy,Project Gravy,✓,4.5,4.5,✓,KPMG Corporate Finance (Vancouver),kpmg.ca,✓,13-Aug-25,13-Aug-25,✓,Yes,Yes,✓
RE_ Acquisition Opportunity - Project Cedar.msg,Project Cedar ,Project Cedar,✓,8.5,6.2,✗,BDO Canada LLP,,✗,31-Jul-25,06-Aug-25,✗,No,No,✓
RE_ Project Spoon - Follow Up.msg,Project Up,Project Spoon,✗,3.0,,✗,KPMG Corporate Finance (Vancouver),,✗,30-Jul-25,28-Feb-22,✗,Yes,No,✗
RE_ Project Elevate - Opportunity to acquire a highly regarded_ data driven marketing agency.msg,Project Elevate,Project Elevate,✓,1.1,,✗,BDO Canada LLP,,✗,22-Jul-25,22-Jul-25,✓,Yes,No,✗
FW SISP - Teaser - Special D Baking Ltd.  Land Assembly Company (Edmonton) Ltd. .msg,Special D Baking,Special D Baking Ltd.,✓,,,✓,Ernst & Young (Restructuring),parthenon.ey.com,✗,10-Jul-25,10-Jul-25,✓,Restructure,No,N/A
Project Picard _ Acquisition Opportunity in Business Services .msg,Project Bus,Project Picard,✗,10.0,7.6,✗,Baker Tilly (Vancouver),fortcapital.ca,✗,30-Apr-25,26-May-23,✗,No,No,✓
FW_ Project Polaris - Leading provider of para-transit solutions.msg,Project Polaris,Polaris,✓,5.4,5.4,✓,National Bank,bnc.ca,✗,14-Mar-25,24-Apr-25,✗,No,No,✓
RE_ Project Spark _ Electrical Contractor Opportunity.msg,Project Spark,Project Spark,✓,0.8,10.3,✗,BDO Canada LLP,,✗,6-Mar-25,17-Jan-24,✗,No,No,✓
RE_ _EXT_ RE_ Acquisition Opportunity - Project Apollo.msg,Project Apollo,Divine Flooring Ltd.,✗,11.2,9.5,✗,KPMG (Toronto),,✗,30-Jan-25,17-Jul-24,✗,No,No,✓
RE_ Western Solar - Process Letter.msg,Western Solar,,✗,5.6,,✗,TrueNorth M&A,,✗,9-Jul-24,19-Aug-24,✗,Yes,No,✗
RE_ Project Falcon - Acquisition Opportunity.msg,Project Falcon,Project Falcon,✓,3.6,3.6,✓,KPMG (Toronto),kpmg.ca,✓,25-Jun-24,25-Jun-24,✓,No,Yes,✗
RE_ Western Solar - Process Letter.msg,Project Solar,Western Solar,✗,2.8,,✗,KPMG (Toronto),,✗,30-Apr-24,19-Aug-24,✗,No,No,✓
RE_ Project Seal - Acquisition Opportunity (Krystal Growth).msg,Project Seal,Project Seal,✓,9.7,10.0,✗,KPMG (Toronto),,✗,17-Apr-24,18-Apr-24,✗,No,No,✓
RE_ Bolt-on Opportunity for RTOWN _ Project Dawn.msg,Project Dawn,Stellar Reviews,✗,0.8,,✗,FTI Capital Advisors,,✗,6-Mar-24,20-Mar-24,✗,Bolt-on,No,N/A
FW_ Project Flow _  Innovative Building Component Company .msg,Project Flow,Flow,✓,6.9,6.9,✓,Fort Capital,fortcapital.ca,✓,22-Feb-24,22-Feb-24,✓,No,No,✓
RE_ Project Patriot - Acquisition Opportunity.msg,Project Patriot,Project Patriot,✓,1.9,1.9,✓,Grant Thornton LLP (Toronto),,✗,20-Feb-24,22-Feb-24,✗,No,No,✓
RE_ Project Bailey.msg,Project Bailey,Project Bailey,✓,2.0,2.9,✗,Osprey Capital Partners,,✗,24-Jan-24,29-Jan-24,✗,Yes,No,✗
Acquisition Opportunity_ Project Hitch.msg,Project Hitch,Project Hitch,✓,1.3,1.3,✓,Grant Thornton LLP (Victoria),ca.gt.com,✗,4-Dec-23,04-Dec-23,✗,No,No,✓
Project Halo Acquisition Opportunity - _Krystal Growth Partners_.msg,Project Halo,Project Halo,✓,0.2,0.202,✓,RBC Mid-Market M&A,rbccm.com,✗,10-Oct-23,10-Oct-23,✓,No,No,✓
Acquisition Opportunity_ Project Rock.msg,Project Rock,Project Rock,✓,4.6,5.5,✗,National Bank,nbc.ca,✗,11/Oct/22,11-Oct-22,✗,Yes,No,✗
Acquisition Opportunity_ Project Rock.msg,Project Rock,Project Rock,✓,4.7,5.5,✗,Capital West Partners,nbc.ca,✗,17/Dec/18,11-Oct-22,✗,,No,N/A
