Date Received,Company / Project Name,Sector,Description,LTM EBITDA ($M),"KGP 
Lead",Source,"Status 
(Note: color updates automatically)",Investment Criteria Fit?,One Pager?,"EOI Range
EV/EBITDA Multiple","LOI
EV/EBITDA
Multiple",,,,,,Date Received,Date Received,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Oct-25,Project Sable,Retail,Leading Canadian Footwear Brand,$0.9,MS,CIBC Mid-Market (Toronto),Passed,No,No,  -   ,  -   ,,,,,,Oct,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
14-Oct-25,Project Altitude (Pacific Coastal Airline),Consumer Services,Regional Airline servicing small towns in BC,$15.5,MS,Capital West Partners,Passed,No,No,,,,,,,,Oct,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
14-Oct-25,Bold Embers Equestrian,Other,Global equestrian asset-backed operating platform,n.a.,MS,Other,Immediate Pass,No,No,  -   ,  -   ,,,,,,Oct,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
10-Oct-25,Project Framework,Building Products,Canadian mass-timber and pre-fabrication building solutions provider,$1.0,MA,RWT Growth,In Review,Bolt-on,No,,,,,,,,Oct,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
7-Oct-25,Project Metro (AdTrackMedia),Other,LED ad technology,n.a.,AH,Fort Capital,Passed,VC,No,  -   ,  -   ,,,,,,Oct,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
6-Oct-25,Project Harbour,Other,Portfolio of F&B brands ,$10.0,TMH,Scotiabank,Immediate Pass,No,No,,,,,,,,Oct,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
1-Oct-25,Project Legacy,Transportation Services,Scheduled and premium passenger ground transportation company ,$5.5,MA,Capital West Partners,In Review,Yes,No,,,,,,,,Oct,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
24-Sep-25,Project Toro,Other,Frozen seafood importer and national distributor,$10.0,AH,Sequeira Partners,Passed,No,No,,,,,,,,Sep,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
17-Sep-25,Project Monstera,Other,Auto aftermarket distributor ,$5.8,AH,National Bank (Toronto),Immediate Pass,No,No,  -   ,  -   ,,,,,,Sep,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
15-Sep-25,DeeBees,Other,Organic fruit based consumables brand and manufacturer,n.a.,AH,Other,Immediate Pass,VC,No,,,,,,,,Sep,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
5-Sep-25,Project Kiln,Other,"Food manufacturer - Soups, sauces, dips, marinades, dressings",$10.0,AH,Origin Merchant Partners,Immediate Pass,No,No,,,,,,,,Sep,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
25-Aug-25,Reboot Labs LLC dba Plunge,Retail,Cold Plunge/ Sauna Company,$5.2,TMH,Other,Passed,Yes,No,,,,,,,,Aug,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
13-Aug-25,Reliable Fleet,Transportation Services,Towing company,n.a.,TMH,Origin Merchant Partners,Passed,No,No,,,,,,,,Aug,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
13-Aug-25,Project Gravy,Consumer Services,Quick Service Restaurant ,$4.5,MS,KPMG Corporate Finance (Vancouver),Passed,Yes,No,,,,,,,,Aug,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
31-Jul-25,Project Cedar ,Other,Custom Log and Timber Home builder ,$8.5,AH,BDO Canada LLP,Immediate Pass,No,No,,,,,,,,Jul,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
30-Jul-25,Project Up,Retail,Garage door and gate dealer & installer,$3.0,AH,KPMG Corporate Finance (Vancouver),Immediate Pass,Yes,No,,,,,,,,Jul,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
29-Jul-25,Not Disclosed,Retail,Pet Food manufacturer ,$9.0,AH,Capital West Partners,Immediate Pass,No,No,,,,,,,,Jul,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
22-Jul-25,Project Elevate,Business Services,Marketing Agency,$1.1,AH,BDO Canada LLP,Immediate Pass,Yes,No,,,,,,,,Jul,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
10-Jul-25,Special D Baking,Other,Doughnut manufacturer,n.a.,AH,Ernst & Young (Restructuring),Immediate Pass,Restructure,No,  -   ,  -   ,,,,,,Jul,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
